Metabolism	Pathway	Module	KO	gene_name	if_key	NCBIfam	pfam	Refseq	EC	gene function	COG	Taxonomy	Reaction	Note															
Carbon fix	DC-HB;HP-HB cycles	DC-HB;HP-HB cycles	K14534	abfD	yes					4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase	COG2368	Crenarchaeota																	
Carbon fix	DC-HB;HP-HB cycles	DC-HB;HP-HB cycles	K15016	k15016						enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase	COG1024?COG1250	Crenarchaeota																	
Carbon fix	rTCA	rTCA (aclAB)	K15230	aclA	yes					ATP-citrate lyase alpha-subunit	NA	Bacteria																	
Carbon fix	rTCA	rTCA (aclAB)	K15231	aclB						ATP-citrate lyase beta-subunit	NA	Bacteria																	
Carbon fix	Pentose phosphate pathway - oxidative phase	Pentose phosphate pathway - oxidative phase (zwf)	K00036	zwf (G6PD)	yes				EC:1.1.1.49 1.1.1.363	glucose-6-phosphate 1-dehydrogenase				PPP: generates NADPH and ribose-5-phosphate for biosynthesis															
Carbon fix	Pentose phosphate pathway - non-oxidative phase (rpiAB)	Pentose phosphate pathway - non-oxidative phase (rpiAB)	K01807	rpiA					EC:5.3.1.6	ribose 5-phosphate isomerase A																			
Carbon fix	Pentose phosphate pathway - non-oxidative phase (rpiAB)	Pentose phosphate pathway - non-oxidative phase (rpiAB)	K01808	rpiB					EC:5.3.1.6	ribose 5-phosphate isomerase B																			
Fermentation and TCA	Acetogenesis	"Acetogenesis (acdA, ack, pta)"	K01905	acdA	yes					"acetyl coenzyme A synthetase (ADP forming), alpha domain"				Acd ÓÃÓÚ ´Ó acetyl-CoA Éú³É acetate ²¢²úÉú ATP															
Fermentation and TCA	Acetogenesis	"Acetogenesis (acdA, ack, pta)"	K00925	ack	yes					acetate kinase																			
Fermentation and TCA	Acetogenesis	"Acetogenesis (acdA, ack, pta)"	K00625	pta	yes					phosphate acetyltransferase																			
Fermentation and TCA	Acetate to acetyl-CoA	Acetate -> acetyl-CoA (ACS)	K01895	acs	yes					acetyl-CoA synthetase																			
Fermentation and TCA	glycolysis	glycolysis	K01568	pdc	yes					pyruvate decarboxylase	COG3961	Bacteria/Eukaryotes		Glycolysis: breaks down glucose to generate ATP and NADH															
Fermentation and TCA	glycolysis	glycolysis	K13951	ADH1_7						alcohol dehydrogenase 1/7	NA	Eukaryotes																	
Fermentation and TCA	glycolysis	glycolysis	K00114	exaA						alcohol dehydrogenase (cytochrome c)	COG4993	Bacteria/Archaea																	
Fermentation and TCA	glycolysis	glycolysis	K00002	aKR1A1						alcohol dehydrogenase (NADP+)	COG0656	Bacteria/Archaea/Eukaryotes																	
Fermentation and TCA	glycolysis	glycolysis	K04022	eutG						alcohol dehydrogenase	COG1454	Bacteria																	
Fermentation and TCA	glycolysis	glycolysis	K00128	aLDH	yes					aldehyde dehydrogenase (NAD+)	COG1012	Bacteria/Archaea/Eukaryotes																	
Fermentation and TCA	glycolysis	glycolysis	K00129	aLDH3						aldehyde dehydrogenase (NAD(P)+)	COG1012	Bacteria/Eukaryotes																	
Fermentation and TCA	pyruvate metabolism	lactate fermentation	K00016	ldh	yes					L-lactate dehydrogenase	COG0039	Bacteria/Archaea/Eukaryotes																	
Fermentation and TCA	pyruvate metabolism	lactate fermentation	K00101	lldD					EC:1.1.2.3	L-lactate dehydrogenase (cytochrome)																			
Fermentation and TCA	pyruvate metabolism	lactate fermentation	K00102	dld						D-lactate dehydrogenase (cytochrome)	NA	Bacteria/Archaea/Eukaryotes																	
Fermentation and TCA	pyruvate metabolism	pyruvate metabolism	K00656	pflD						formate C-acetyltransferase	COG1882	Bacteria/Archaea/Eukaryotes																	
Fermentation and TCA	Lysine biosynthesis	Lysine biosynthesis	K00825	AADAT						kynurenine/2-aminoadipate aminotransferase	NA	Eukaryotes																	
Fermentation and TCA	Butanoate metabolism	Butanoate metabolism	K00004	butB	yes					"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase"	COG1063	Bacteria/Archaea/Eukaryotes																	
Fermentation and TCA	Butanoate metabolism	Butanoate metabolism	K00929	buk						butyrate kinase	COG3426	Bacteria																	
Fermentation and TCA	Butanoate metabolism	Butanoate metabolism	K00248	bcd						butyryl-CoA dehydrogenase	COG1960	Bacteria/Archaea/Eukaryotes																	
Fermentation and TCA	Pyruvate oxidation	Pyruvate oxidation	K00169	porA	yes					pyruvate ferredoxin oxidoreductase alpha subunit																			
Fermentation and TCA	Alcohol utilization	Alcohol utilization (adh)	K00001	adh	yes					alcohol dehydrogenase																			
Fermentation and TCA	Propionate fermentation	propionate fermentation	K01676	fumA	yes				EC:4.2.1.2	fumarate hydratase																			
Fermentation and TCA	TCA cycle	TCA cycle	K00239	"sdhA, frdA"	yes					"succinate dehydrogenase / fumarate reductase, flavoprotein subunit"	COG1053	Bacteria/Archaea																	
Fermentation and TCA	TCA cycle	TCA cycle	K00240	"sdhB, frdB"						"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit"	COG0479	Bacteria/Archaea																	
Fermentation and TCA	TCA cycle	TCA cycle	K01647	cs	yes				EC:2.3.3.1	citrate synthase																			
Fermentation and TCA	TCA cycle	TCA cycle	K05942	k05942					EC:2.3.3.3	citrate (Re)-synthase																			
Photosynthesis	Anoxygenic Photosynthesis (Purple)	Anoxygenic Photosynthesis (Purple) (pufAB)	K08926	pufA	yes					light-harvesting complex 1 alpha chain	NA	Green Non Sulfur and Purple Sulfur Bacteria																	
Photosynthesis	Anoxygenic Photosynthesis (Purple)	Anoxygenic Photosynthesis (Purple) (pufAB)	K08927	pufB						light-harvesting complex 1 beta chain	NA	Green Non Sulfur and Purple Sulfur Bacteria																	
Photosynthesis	Anoxygenic Photosynthesis (Purple)	Anoxygenic Photosynthesis (Purple) (pucAB/puhA)	K08930	pucA	yes					light-harvesting protein B-800-850 alpha chain	NA	Green Non Sulfur and Purple Sulfur Bacteria																	
Photosynthesis	Anoxygenic Photosynthesis (Purple)	Anoxygenic Photosynthesis (Purple) (pucAB/puhA)	K08939	pucB						light-harvesting protein B-800-850 beta chain	NA	Green Non Sulfur and Purple Sulfur Bacteria																	
Photosynthesis	Anoxygenic Photosynthesis (Purple)	Anoxygenic Photosynthesis (Purple) (pucAB/puhA)	K13991	puhA						photosynthetic reaction center H subunit	NA	Green Non Sulfur and Purple Sulfur Bacteria																	
Photosynthesis	Anoxygenic Photosynthesis (Green Non Sulfur)	Anoxygenic Photosynthesis (Green Non Sulfur)	K04040	bchG	yes					chlorophyll/bacteriochlorophyll a synthase	COG0382	Green Non Sulfur and Purple Sulfur Bacteria																	
Photosynthesis	Anoxygenic Photosynthesis (Green Non Sulfur)	Anoxygenic Photosynthesis (Green Non Sulfur)	K10960	bchP						geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase	COG0644	Green Non Sulfur and Purple Sulfur Bacteria																	
Photosynthesis	Anoxygenic Photosynthesis (Green Sulfur)	Anoxygenic Photosynthesis (Green Sulfur)	K08944	fomA	yes					bacteriochlorophyll A protein	NA	Chlorobi																	
Photosynthesis	Anoxygenic Photosynthesis (Green Sulfur)	Anoxygenic Photosynthesis (Green Sulfur)	K13603	bchV						3-vinyl bacteriochlorophyllide hydratase	NA	Chlorobi																	
Photosynthesis	Anoxygenic Photosynthesis (Green Sulfur)	Anoxygenic Photosynthesis (Green Sulfur)	K13605	bchK						bacteriochlorophyll c synthase	NA	Chlorobi																	
Photosynthesis	Anoxygenic photosystem II	Anoxygenic photosystem II (pufLM)	K08928	pufL	yes					photosynthetic reaction center L subunit																			
Photosynthesis	Anoxygenic photosystem II	Anoxygenic photosystem II (pufLM)	K08929	pufM						photosynthetic reaction center M subunit																			
Photosynthesis	Oxygenic photosystem I	Oxygenic photosystem I (psaAB)	K02689	psaA	yes					photosystem I P700 chlorophyll a apoprotein A1	NA	Cyanobacteria and Photosynthetic eukaryotes																	
Photosynthesis	Oxygenic photosystem I	Oxygenic photosystem I (psaAB)	K02690	psaB						photosystem I P700 chlorophyll a apoprotein A2	NA	Cyanobacteria and Photosynthetic eukaryotes																	
Photosynthesis	Oxygenic photosystem II	Oxygenic photosystem II (psbAB)	K02703	psbA	yes					photosystem II P680 reaction center D1 protein	NA	Cyanobacteria and Photosynthetic eukaryotes																	
Photosynthesis	Oxygenic photosystem II	Oxygenic photosystem II (psbAB)	K02704	psbB						photosystem II CP47 chlorophyll apoprotein	NA	Cyanobacteria and Photosynthetic eukaryotes																	
C1 and methane metabolism	Aerobic CO oxidation	Aerobic CO oxidation (coxLMS)	K03520	coxL	yes					aerobic carbon-monoxide dehydrogenase large subunit			CO->CO2																
C1 and methane metabolism	Aerobic CO oxidation	Aerobic CO oxidation (coxLMS)	K03519	coxM						aerobic carbon-monoxide dehydrogenase medium subunit			CO->CO2																
C1 and methane metabolism	Aerobic CO oxidation	Aerobic CO oxidation (coxLMS)	K03518	coxS						aerobic carbon-monoxide dehydrogenase small subunit			CO->CO2																
C1 and methane metabolism	Methanol oxidation	Methanol oxidation (mxaF/mdh)	K14028	mxaF	yes					methanol dehydrogenase (cytochrome c) subunit 1																			
C1 and methane metabolism	Methanol oxidation	Methanol oxidation (mxaF/mdh)	K00093	mdh						methanol dehydrogenase																			
C1 and methane metabolism	Formate oxidation	Formate oxidation (fdoHG/fdwB)	K22515	fdwB	yes					formate dehydrogenase beta subunit																			
